slug,name,alternate_name,group,latitude_deg,longitude_deg,area_mi2,area_km2,status_1570,confidence,note,rescue_date,rescue_title,rescue_summary,rescue_source_title,rescue_source_url
saint-martin-sint-maarten,Saint-Martin / Sint Maarten,,Arco oriental,18.06,-63.06,33.67,87.205,San Martín aparece en la documentación histórica,alto,La nomenclatura política moderna divide la isla; aquí se trata como una sola unidad física.,1644–1648,San Martín dependía materialmente de San Juan para su defensa,Durante el ataque holandés de 1644 llegaron refuerzos desde Puerto Rico a la guarnición española de San Martín. En 1648 la guarnición fue evacuada a Puerto Rico cuando España abandonó la isla; las fuentes puertorriqueñas describen además el costo que suponía sostener y defender San Martín desde San Juan.,Salvador Brau · síntesis histórica sobre San Martín y Tórtola,https://www.larramendi.es/es/catalogo_imagenes/grupo.do?path=1031922
saint-barthelemy,Saint-Barthélemy,,Arco oriental,17.9016,-62.8293,9.65,24.993,Unidad de normalización moderna,condicional,Se incluye como unidad física del arco; las fuentes del XVI emplean topónimos cuya correspondencia moderna requiere cautela.,,,,,
saba,Saba,,Arco oriental,17.6314,-63.2377,5.02,13.002,Sava/Saba aparece en la documentación histórica,alto,La cédula de 1519 y fuentes posteriores registran una forma histórica del nombre Saba.,,,,,
sint-eustatius,Sint Eustatius,,Arco oriental,17.4904,-62.9762,8.11,21.005,Estasia / San Estado en fuentes del siglo XVI,alto,La grafía histórica varía; la identificación moderna corresponde a Sint Eustatius.,,,,,
saint-kitts,Saint Kitts,,Arco oriental,17.3398,-62.7657,64.9,168.090,San Cristóbal aparece en la documentación histórica,alto,San Cristóbal es uno de los topónimos claramente documentados en la ampliación del obispado.,Siglo XVII,San Cristóbal figura entre las islas atendidas desde Puerto Rico,Una síntesis del Instituto de Cultura Puertorriqueña describe a Puerto Rico como base de operaciones punitivas contra piratas y corsarios en las islas de Barlovento y enumera a San Cristóbal entre los lugares de los que fueron desalojados repetidamente. No asignamos aquí una fecha concreta a una expedición puertorriqueña específica porque la fuente resumida no la fija.,Prontuario histórico de Puerto Rico · Instituto de Cultura Puertorriqueña,https://www.larramendi.es/es/catalogo_imagenes/grupo.do?path=1031923
nevis,Nevis,,Arco oriental,17.1508,-62.5867,35.9,92.981,Las Nieves aparece en la documentación histórica,alto,La forma histórica 'Las Nieves' corresponde a Nevis.,,,,,
barbuda,Barbuda,,Arco oriental,17.6333,-61.8,62,160.579,Barbuda aparece en la documentación histórica,alto,"La grafía histórica puede aparecer deformada en transcripciones, pero la unidad está documentada en el conjunto de anexión.",,,,,
antigua,Antigua,,Arco oriental,17.0773,-61.7993,108.5,281.014,Antigua aparece en la documentación histórica,alto,Se mantiene como una unidad insular moderna para la suma física.,,,,,
redonda,Redonda,,Arco oriental,16.9383,-62.3455,0.62,1.606,Redonda aparece en la documentación histórica,alto,Pequeña isla entre Nevis y Montserrat; su contribución al área total es reducida.,,,,,
montserrat,Montserrat,,Arco oriental,16.7391,-62.1893,39.38,101.994,Monserrat aparece en la documentación histórica,alto,Topónimo claramente reconocible en la documentación de 1519.,,,,,
guadalupe,Guadalupe,,Arco oriental,16.21,-61.53,627.81,1626.020,Guadalupe aparece en la documentación histórica,alto,"Para conservar el conteo narrativo de 22, aquí se agrupan Basse-Terre, Grande-Terre, La Désirade, Marie-Galante y Les Saintes; la superficie es la suma de esas unidades modernas usadas en el cálculo.",,,,,
dominica,Dominica,,Extremo meridional,15.4347,-61.3502,289.5,749.802,Extremo meridional documentado,alto,La documentación histórica sitúa a Dominica como extremo del arco jurisdiccional descrito; es el punto final de la medición lineal del sitio.,,,,,
